sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Apulia,2021-01-28,-32.0,-4.0,-17.0,-46.0,-28.0,9.0
Apulia,2021-01-29,-33.0,-1.0,-20.0,-48.0,-28.0,10.0
Apulia,2021-01-30,-38.0,-4.0,-6.0,-47.0,-27.0,10.0
Apulia,2021-01-31,-58.0,-35.0,-41.0,-54.0,-22.0,12.0
Apulia,2021-02-01,-28.0,-3.0,-9.0,-46.0,-27.0,8.0
Apulia,2021-02-02,-31.0,-3.0,-13.0,-46.0,-27.0,9.0
Apulia,2021-02-03,-29.0,-1.0,0.0,-43.0,-26.0,8.0
Apulia,2021-02-04,-31.0,-2.0,-7.0,-43.0,-26.0,8.0
Apulia,2021-02-05,-33.0,1.0,-12.0,-45.0,-27.0,9.0
Apulia,2021-02-06,-39.0,-2.0,-6.0,-44.0,-26.0,9.0
Apulia,2021-02-07,-53.0,-29.0,-13.0,-49.0,-20.0,10.0
Apulia,2021-02-08,-30.0,-5.0,-13.0,-45.0,-27.0,8.0
Apulia,2021-02-09,-31.0,-3.0,-18.0,-44.0,-27.0,9.0
Apulia,2021-02-10,-31.0,-2.0,-17.0,-45.0,-25.0,8.0
Apulia,2021-02-11,-25.0,4.0,-11.0,-40.0,-25.0,8.0
Apulia,2021-02-12,-29.0,8.0,-22.0,-41.0,-25.0,8.0
Apulia,2021-02-13,-45.0,-9.0,-60.0,-56.0,-30.0,14.0
Apulia,2021-02-14,-53.0,-37.0,-42.0,-53.0,-26.0,12.0
Apulia,2021-02-15,-31.0,-8.0,-28.0,-45.0,-29.0,11.0
Apulia,2021-02-16,-26.0,0.0,-9.0,-41.0,-26.0,9.0
Apulia,2021-02-17,-25.0,0.0,-1.0,-39.0,-23.0,8.0
Apulia,2021-02-18,-26.0,2.0,0.0,-37.0,-23.0,8.0
Apulia,2021-02-19,-27.0,4.0,6.0,-38.0,-23.0,8.0
Apulia,2021-02-20,-30.0,2.0,25.0,-29.0,-23.0,7.0
Apulia,2021-02-21,-35.0,-22.0,82.0,-27.0,-16.0,5.0
Apulia,2021-02-22,-26.0,-4.0,8.0,-41.0,-27.0,8.0
Apulia,2021-02-23,-27.0,-2.0,1.0,-40.0,-27.0,9.0
Apulia,2021-02-24,-25.0,1.0,3.0,-39.0,-25.0,8.0
Apulia,2021-02-25,-25.0,2.0,9.0,-37.0,-25.0,8.0
Apulia,2021-02-26,-25.0,6.0,14.0,-36.0,-25.0,8.0
Apulia,2021-02-27,-29.0,4.0,29.0,-31.0,-24.0,7.0
Apulia,2021-02-28,-35.0,-18.0,60.0,-29.0,-16.0,6.0
Apulia,2021-03-01,-23.0,2.0,1.0,-39.0,-25.0,8.0
Apulia,2021-03-02,-24.0,3.0,9.0,-38.0,-26.0,8.0
Apulia,2021-03-03,-24.0,4.0,9.0,-39.0,-25.0,8.0
Apulia,2021-03-04,-25.0,4.0,10.0,-36.0,-25.0,8.0
Apulia,2021-03-05,-27.0,7.0,1.0,-39.0,-26.0,9.0
Apulia,2021-03-06,-32.0,4.0,8.0,-39.0,-25.0,8.0
Apulia,2021-03-07,-37.0,-19.0,50.0,-34.0,-16.0,7.0
Apulia,2021-03-08,-23.0,0.0,-6.0,-43.0,-25.0,8.0
Apulia,2021-03-09,-29.0,-1.0,-9.0,-43.0,-27.0,9.0
Apulia,2021-03-10,-28.0,4.0,-19.0,-43.0,-26.0,10.0
Apulia,2021-03-11,-27.0,4.0,-7.0,-40.0,-25.0,9.0
Apulia,2021-03-12,-28.0,8.0,-5.0,-41.0,-26.0,9.0
Apulia,2021-03-13,-29.0,13.0,7.0,-39.0,-24.0,8.0
Apulia,2021-03-14,-32.0,-11.0,61.0,-30.0,-10.0,5.0
Apulia,2021-03-15,-56.0,-21.0,-56.0,-59.0,-36.0,16.0
Apulia,2021-03-16,-52.0,-11.0,-45.0,-56.0,-36.0,16.0
Apulia,2021-03-17,-49.0,-7.0,-43.0,-56.0,-35.0,15.0
Apulia,2021-03-18,-48.0,-6.0,-43.0,-53.0,-34.0,15.0
Apulia,2021-03-19,-44.0,-4.0,-39.0,-54.0,-33.0,15.0
Apulia,2021-03-20,-60.0,-10.0,-65.0,-65.0,-38.0,19.0
Apulia,2021-03-21,-74.0,-45.0,-71.0,-66.0,-36.0,19.0
Apulia,2021-03-22,-47.0,-10.0,-43.0,-56.0,-34.0,15.0
Apulia,2021-03-23,-47.0,-8.0,-42.0,-55.0,-35.0,15.0
Apulia,2021-03-24,-46.0,-5.0,-37.0,-54.0,-34.0,14.0
Apulia,2021-03-25,-45.0,-4.0,-34.0,-52.0,-34.0,14.0
Apulia,2021-03-26,-44.0,6.0,-24.0,-51.0,-33.0,14.0
Apulia,2021-03-27,-52.0,3.0,-38.0,-56.0,-34.0,15.0
Apulia,2021-03-28,-71.0,-73.0,-31.0,-56.0,-30.0,15.0
Apulia,2021-03-29,-42.0,0.0,-19.0,-50.0,-33.0,13.0
Apulia,2021-03-30,-41.0,4.0,-12.0,-48.0,-33.0,13.0
Apulia,2021-03-31,-38.0,9.0,-6.0,-46.0,-33.0,12.0
Apulia,2021-04-01,-35.0,17.0,-1.0,-42.0,-33.0,11.0
Apulia,2021-04-02,-35.0,27.0,-3.0,-46.0,-36.0,12.0
Apulia,2021-04-03,-47.0,10.0,-36.0,-54.0,-37.0,14.0
Apulia,2021-04-04,-73.0,-74.0,-51.0,-67.0,-26.0,14.0
Apulia,2021-04-05,-70.0,-75.0,-7.0,-67.0,-75.0,20.0
Apulia,2021-04-06,-40.0,2.0,-16.0,-40.0,-36.0,12.0
Apulia,2021-04-07,-43.0,-1.0,-37.0,-47.0,-31.0,13.0
Apulia,2021-04-08,-40.0,4.0,-28.0,-44.0,-29.0,13.0
Apulia,2021-04-09,-40.0,6.0,-15.0,-46.0,-29.0,12.0
Apulia,2021-04-10,-46.0,2.0,-23.0,-47.0,-30.0,12.0
Apulia,2021-04-11,-62.0,-39.0,-20.0,-45.0,-24.0,13.0
Apulia,2021-04-12,-37.0,0.0,-21.0,-46.0,-28.0,11.0
Apulia,2021-04-13,-37.0,3.0,-18.0,-45.0,-29.0,12.0
Apulia,2021-04-14,-37.0,4.0,-20.0,-45.0,-29.0,11.0
Apulia,2021-04-15,-37.0,4.0,-15.0,-42.0,-28.0,11.0
Apulia,2021-04-16,-41.0,6.0,-30.0,-46.0,-29.0,12.0
Apulia,2021-04-17,-47.0,3.0,-40.0,-51.0,-30.0,14.0
Apulia,2021-04-18,-60.0,-35.0,-22.0,-47.0,-23.0,13.0
Apulia,2021-04-19,-36.0,-1.0,-20.0,-47.0,-27.0,11.0
Apulia,2021-04-20,-34.0,4.0,-7.0,-43.0,-27.0,11.0
Apulia,2021-04-21,-32.0,7.0,4.0,-43.0,-27.0,10.0
Apulia,2021-04-22,-42.0,-3.0,-43.0,-47.0,-28.0,13.0
Apulia,2021-04-23,-39.0,7.0,-31.0,-48.0,-28.0,13.0
Apulia,2021-04-24,-44.0,6.0,-26.0,-48.0,-28.0,13.0
Apulia,2021-04-25,-51.0,-33.0,36.0,-40.0,-18.0,9.0
Apulia,2021-04-26,-22.0,5.0,14.0,-39.0,-22.0,7.0
Apulia,2021-04-27,-23.0,9.0,7.0,-38.0,-23.0,8.0
Apulia,2021-04-28,-20.0,12.0,22.0,-34.0,-23.0,7.0
Apulia,2021-04-29,-21.0,12.0,20.0,-33.0,-22.0,7.0
Apulia,2021-04-30,-20.0,32.0,27.0,-33.0,-23.0,6.0
Apulia,2021-05-01,-51.0,-36.0,11.0,-48.0,-50.0,13.0
Apulia,2021-05-02,-39.0,-9.0,70.0,-27.0,-16.0,5.0
Apulia,2021-05-03,-17.0,16.0,19.0,-33.0,-22.0,6.0
Apulia,2021-05-04,-19.0,15.0,22.0,-32.0,-22.0,6.0
Apulia,2021-05-05,-19.0,14.0,25.0,-32.0,-22.0,6.0
Apulia,2021-05-06,-19.0,13.0,27.0,-31.0,-21.0,6.0
Apulia,2021-05-07,-21.0,17.0,26.0,-32.0,-22.0,7.0
Apulia,2021-05-08,-27.0,13.0,27.0,-29.0,-22.0,6.0
Apulia,2021-05-09,-32.0,-12.0,85.0,-22.0,-10.0,3.0
Apulia,2021-05-10,-11.0,10.0,47.0,-31.0,-22.0,5.0
Apulia,2021-05-11,-12.0,14.0,42.0,-29.0,-21.0,5.0
Apulia,2021-05-12,-12.0,15.0,34.0,-28.0,-20.0,5.0
Apulia,2021-05-13,-13.0,17.0,24.0,-25.0,-20.0,5.0
Apulia,2021-05-14,-15.0,18.0,28.0,-26.0,-21.0,5.0
Apulia,2021-05-15,-22.0,12.0,24.0,-20.0,-22.0,6.0
Apulia,2021-05-16,-23.0,-13.0,115.0,-3.0,-11.0,1.0
Apulia,2021-05-17,-10.0,18.0,44.0,-25.0,-19.0,4.0
Apulia,2021-05-18,-8.0,18.0,50.0,-23.0,-19.0,4.0
Apulia,2021-05-19,-9.0,20.0,37.0,-25.0,-18.0,4.0
Apulia,2021-05-20,-10.0,20.0,17.0,-26.0,-18.0,5.0
Apulia,2021-05-21,-9.0,22.0,43.0,-22.0,-17.0,4.0
Apulia,2021-05-22,-13.0,10.0,52.0,-13.0,-17.0,2.0
Apulia,2021-05-23,-16.0,-8.0,113.0,-7.0,-8.0,-1.0
Apulia,2021-05-24,-8.0,14.0,48.0,-22.0,-17.0,3.0
Apulia,2021-05-25,-5.0,16.0,58.0,-22.0,-17.0,3.0
Apulia,2021-05-26,-3.0,19.0,58.0,-21.0,-17.0,3.0
Apulia,2021-05-27,-3.0,20.0,49.0,-18.0,-17.0,3.0
Apulia,2021-05-28,-4.0,24.0,52.0,-16.0,-17.0,2.0
Apulia,2021-05-29,-8.0,13.0,70.0,-4.0,-17.0,0.0
Apulia,2021-05-30,-14.0,7.0,66.0,-5.0,-8.0,1.0
Apulia,2021-05-31,2.0,24.0,66.0,-18.0,-17.0,3.0
Apulia,2021-06-01,12.0,39.0,86.0,-13.0,-18.0,1.0
Apulia,2021-06-02,0.0,-20.0,225.0,-19.0,-68.0,5.0
Apulia,2021-06-03,3.0,34.0,70.0,-10.0,-16.0,2.0
Apulia,2021-06-04,0.0,30.0,80.0,-11.0,-16.0,2.0
Apulia,2021-06-05,-6.0,14.0,84.0,0.0,-16.0,-1.0
Apulia,2021-06-06,-13.0,-1.0,123.0,11.0,-6.0,-4.0
Apulia,2021-06-07,1.0,26.0,58.0,-13.0,-15.0,2.0
Apulia,2021-06-08,5.0,27.0,71.0,-12.0,-16.0,2.0
Apulia,2021-06-09,7.0,29.0,84.0,-11.0,-15.0,1.0
Apulia,2021-06-10,6.0,26.0,82.0,-8.0,-14.0,1.0
Apulia,2021-06-11,-1.0,28.0,71.0,-10.0,-16.0,0.0
Apulia,2021-06-12,-6.0,11.0,85.0,0.0,-18.0,-2.0
Apulia,2021-06-13,-10.0,-1.0,146.0,14.0,-5.0,-7.0
Apulia,2021-06-14,7.0,24.0,94.0,-7.0,-19.0,0.0
Apulia,2021-06-15,9.0,24.0,106.0,-8.0,-19.0,0.0
Apulia,2021-06-16,6.0,23.0,96.0,-9.0,-19.0,-1.0
Apulia,2021-06-17,6.0,18.0,105.0,-5.0,-19.0,-1.0
Apulia,2021-06-18,2.0,19.0,106.0,-6.0,-21.0,-2.0
Apulia,2021-06-19,-8.0,4.0,108.0,6.0,-20.0,-5.0
Apulia,2021-06-20,-18.0,-9.0,142.0,19.0,-10.0,-8.0
Apulia,2021-06-21,7.0,18.0,126.0,-6.0,-21.0,-2.0
Apulia,2021-06-22,7.0,18.0,128.0,-4.0,-22.0,-1.0
Apulia,2021-06-23,9.0,20.0,128.0,-5.0,-21.0,-2.0
Apulia,2021-06-24,9.0,19.0,116.0,-3.0,-21.0,-2.0
Apulia,2021-06-25,7.0,22.0,123.0,0.0,-21.0,-2.0
Apulia,2021-06-26,-11.0,8.0,96.0,14.0,-20.0,-5.0
Apulia,2021-06-27,-8.0,-1.0,182.0,36.0,-6.0,-10.0
Apulia,2021-06-28,16.0,26.0,163.0,4.0,-20.0,-3.0
Apulia,2021-06-29,13.0,20.0,158.0,2.0,-22.0,-3.0
Apulia,2021-06-30,14.0,23.0,149.0,1.0,-21.0,-4.0
Apulia,2021-07-01,16.0,26.0,149.0,9.0,-19.0,-3.0
Apulia,2021-07-02,5.0,27.0,125.0,3.0,-20.0,-3.0
Apulia,2021-07-03,-2.0,10.0,140.0,29.0,-19.0,-6.0
Apulia,2021-07-04,-5.0,6.0,209.0,48.0,-2.0,-11.0
Apulia,2021-07-05,20.0,31.0,184.0,11.0,-19.0,-3.0
Apulia,2021-07-06,15.0,29.0,175.0,5.0,-19.0,-4.0
Apulia,2021-07-07,17.0,24.0,190.0,8.0,-19.0,-3.0
Apulia,2021-07-08,17.0,24.0,178.0,12.0,-19.0,-3.0
Apulia,2021-07-09,12.0,26.0,170.0,10.0,-20.0,-3.0
Apulia,2021-07-10,1.0,13.0,158.0,33.0,-18.0,-7.0
Apulia,2021-07-11,-9.0,14.0,191.0,47.0,4.0,-11.0
Apulia,2021-07-12,20.0,23.0,217.0,14.0,-21.0,-4.0
Apulia,2021-07-13,19.0,27.0,204.0,13.0,-20.0,-3.0
Apulia,2021-07-14,23.0,30.0,199.0,14.0,-19.0,-3.0
Apulia,2021-07-15,23.0,31.0,189.0,20.0,-17.0,-4.0
Apulia,2021-07-16,17.0,29.0,167.0,17.0,-19.0,-3.0
Apulia,2021-07-17,1.0,18.0,102.0,35.0,-16.0,-2.0
Apulia,2021-07-18,8.0,26.0,184.0,62.0,7.0,-5.0
Apulia,2021-07-19,24.0,35.0,192.0,18.0,-19.0,-1.0
Apulia,2021-07-20,29.0,35.0,228.0,22.0,-18.0,-3.0
Apulia,2021-07-21,28.0,33.0,230.0,20.0,-17.0,-4.0
Apulia,2021-07-22,27.0,34.0,211.0,23.0,-16.0,-4.0
Apulia,2021-07-23,21.0,33.0,211.0,21.0,-17.0,-4.0
Apulia,2021-07-24,6.0,16.0,180.0,51.0,-14.0,-8.0
Apulia,2021-07-25,4.0,16.0,239.0,74.0,9.0,-11.0
Apulia,2021-07-26,30.0,37.0,241.0,19.0,-18.0,-4.0
Apulia,2021-07-27,30.0,35.0,247.0,25.0,-18.0,-3.0
Apulia,2021-07-28,30.0,37.0,239.0,22.0,-17.0,-4.0
Apulia,2021-07-29,29.0,34.0,219.0,25.0,-17.0,-4.0
Apulia,2021-07-30,24.0,34.0,214.0,28.0,-17.0,-4.0
Apulia,2021-07-31,7.0,18.0,176.0,66.0,-13.0,-7.0
Apulia,2021-08-01,7.0,25.0,232.0,83.0,10.0,-10.0
Apulia,2021-08-02,39.0,43.0,276.0,33.0,-20.0,-4.0
Apulia,2021-08-03,40.0,45.0,283.0,32.0,-21.0,-3.0
Apulia,2021-08-04,39.0,43.0,282.0,29.0,-19.0,-4.0
Apulia,2021-08-05,40.0,46.0,253.0,35.0,-20.0,-3.0
Apulia,2021-08-06,33.0,45.0,260.0,35.0,-20.0,-3.0
Apulia,2021-08-07,15.0,27.0,221.0,85.0,-13.0,-7.0
Apulia,2021-08-08,18.0,36.0,302.0,108.0,15.0,-10.0
Apulia,2021-08-09,51.0,54.0,377.0,43.0,-30.0,-3.0
Apulia,2021-08-10,49.0,53.0,392.0,38.0,-32.0,-3.0
Apulia,2021-08-11,52.0,55.0,356.0,35.0,-33.0,-2.0
Apulia,2021-08-12,52.0,52.0,357.0,40.0,-33.0,-2.0
Apulia,2021-08-13,42.0,53.0,347.0,40.0,-35.0,-2.0
Apulia,2021-08-14,14.0,36.0,252.0,83.0,-24.0,-6.0
Apulia,2021-08-15,10.0,2.0,320.0,93.0,6.0,-13.0
Apulia,2021-08-16,50.0,43.0,448.0,53.0,-46.0,-2.0
Apulia,2021-08-17,52.0,49.0,439.0,44.0,-43.0,-1.0
Apulia,2021-08-18,55.0,54.0,409.0,40.0,-39.0,0.0
Apulia,2021-08-19,49.0,48.0,374.0,42.0,-38.0,-1.0
Apulia,2021-08-20,36.0,43.0,336.0,41.0,-38.0,-1.0
Apulia,2021-08-21,15.0,25.0,237.0,88.0,-20.0,-5.0
Apulia,2021-08-22,18.0,30.0,297.0,115.0,24.0,-9.0
Apulia,2021-08-23,45.0,45.0,341.0,46.0,-26.0,-2.0
Apulia,2021-08-24,41.0,42.0,326.0,35.0,-27.0,-1.0
Apulia,2021-08-25,37.0,44.0,260.0,29.0,-27.0,1.0
Apulia,2021-08-26,33.0,44.0,210.0,33.0,-29.0,3.0
Apulia,2021-08-27,30.0,36.0,246.0,34.0,-24.0,-1.0
Apulia,2021-08-28,8.0,21.0,156.0,64.0,-13.0,-4.0
Apulia,2021-08-29,13.0,31.0,194.0,95.0,21.0,-5.0
Apulia,2021-08-30,33.0,40.0,221.0,31.0,-17.0,-1.0
Apulia,2021-08-31,30.0,36.0,217.0,29.0,-17.0,-1.0
Apulia,2021-09-01,30.0,42.0,190.0,25.0,-17.0,-1.0
Apulia,2021-09-02,27.0,38.0,165.0,26.0,-16.0,0.0
Apulia,2021-09-03,21.0,37.0,166.0,26.0,-15.0,-1.0
Apulia,2021-09-04,7.0,23.0,111.0,48.0,-10.0,-2.0
Apulia,2021-09-05,8.0,22.0,164.0,78.0,20.0,-4.0
Apulia,2021-09-06,26.0,35.0,173.0,27.0,-17.0,0.0
Apulia,2021-09-07,27.0,35.0,177.0,23.0,-16.0,0.0
Apulia,2021-09-08,25.0,35.0,165.0,23.0,-17.0,-1.0
Apulia,2021-09-09,23.0,34.0,145.0,25.0,-16.0,0.0
Apulia,2021-09-10,17.0,30.0,139.0,23.0,-15.0,-1.0
Apulia,2021-09-11,5.0,20.0,92.0,40.0,-11.0,-2.0
Apulia,2021-09-12,5.0,18.0,121.0,67.0,14.0,-3.0
Apulia,2021-09-13,22.0,32.0,141.0,22.0,-15.0,-1.0
Apulia,2021-09-14,23.0,33.0,138.0,23.0,-17.0,0.0
Apulia,2021-09-15,22.0,35.0,131.0,18.0,-16.0,-1.0
Apulia,2021-09-16,17.0,30.0,110.0,19.0,-17.0,-2.0
Apulia,2021-09-17,8.0,29.0,81.0,15.0,-19.0,0.0
Apulia,2021-09-18,3.0,17.0,84.0,30.0,-12.0,-2.0
Apulia,2021-09-19,-1.0,8.0,134.0,51.0,15.0,-5.0
Apulia,2021-09-20,17.0,31.0,109.0,21.0,-17.0,-1.0
Apulia,2021-09-21,15.0,31.0,101.0,19.0,-17.0,-1.0
Apulia,2021-09-22,13.0,32.0,78.0,14.0,-14.0,0.0
Apulia,2021-09-23,13.0,31.0,72.0,18.0,-14.0,0.0
Apulia,2021-09-24,10.0,29.0,82.0,18.0,-14.0,-1.0
Apulia,2021-09-25,2.0,16.0,81.0,30.0,-9.0,-3.0
Apulia,2021-09-26,0.0,7.0,138.0,52.0,12.0,-4.0
Apulia,2021-09-27,10.0,28.0,76.0,18.0,-14.0,0.0
Apulia,2021-09-28,10.0,29.0,67.0,14.0,-15.0,0.0
Apulia,2021-09-29,10.0,26.0,72.0,9.0,-14.0,-1.0
Apulia,2021-09-30,7.0,24.0,55.0,14.0,-12.0,0.0
Apulia,2021-10-01,5.0,29.0,51.0,12.0,-13.0,-1.0
Apulia,2021-10-02,-2.0,15.0,50.0,19.0,-10.0,-2.0
Apulia,2021-10-03,-3.0,5.0,99.0,36.0,5.0,-2.0
Apulia,2021-10-04,7.0,23.0,60.0,9.0,-13.0,-1.0
Apulia,2021-10-05,2.0,22.0,47.0,6.0,-15.0,1.0
Apulia,2021-10-06,2.0,24.0,40.0,3.0,-13.0,1.0
Apulia,2021-10-07,0.0,21.0,26.0,6.0,-12.0,1.0
Apulia,2021-10-08,-6.0,20.0,9.0,2.0,-13.0,2.0
Apulia,2021-10-09,-12.0,13.0,-6.0,0.0,-13.0,3.0
Apulia,2021-10-10,-23.0,-1.0,-17.0,7.0,-6.0,5.0
Apulia,2021-10-11,0.0,21.0,22.0,0.0,-13.0,2.0
Apulia,2021-10-12,1.0,23.0,21.0,1.0,-13.0,2.0
Apulia,2021-10-13,0.0,24.0,20.0,-1.0,-12.0,1.0
Apulia,2021-10-14,-3.0,24.0,7.0,2.0,-12.0,2.0
Apulia,2021-10-15,-7.0,22.0,-4.0,0.0,-15.0,3.0
Apulia,2021-10-16,-9.0,16.0,14.0,6.0,-12.0,1.0
Apulia,2021-10-17,-11.0,5.0,48.0,31.0,-3.0,1.0
Apulia,2021-10-18,0.0,23.0,34.0,5.0,-12.0,1.0
Apulia,2021-10-19,1.0,24.0,35.0,4.0,-13.0,1.0
Apulia,2021-10-20,1.0,24.0,38.0,2.0,-12.0,1.0
Apulia,2021-10-21,0.0,22.0,31.0,6.0,-11.0,1.0
Apulia,2021-10-22,-2.0,24.0,25.0,4.0,-12.0,1.0
Apulia,2021-10-23,-7.0,13.0,29.0,9.0,-11.0,0.0
Apulia,2021-10-24,-15.0,3.0,26.0,21.0,-5.0,2.0
Apulia,2021-10-25,-2.0,20.0,27.0,4.0,-11.0,2.0
Apulia,2021-10-26,0.0,23.0,30.0,6.0,-11.0,1.0
Apulia,2021-10-27,0.0,26.0,25.0,5.0,-11.0,1.0
Apulia,2021-10-28,1.0,26.0,24.0,12.0,-10.0,1.0
Apulia,2021-10-29,-1.0,29.0,24.0,17.0,-12.0,0.0
Apulia,2021-10-30,-6.0,20.0,35.0,26.0,-14.0,-1.0
Apulia,2021-10-31,-2.0,18.0,98.0,34.0,-3.0,-3.0
Apulia,2021-11-01,-7.0,-22.0,59.0,-8.0,-69.0,8.0
Apulia,2021-11-02,0.0,31.0,33.0,16.0,-24.0,2.0
Apulia,2021-11-03,-5.0,26.0,6.0,4.0,-11.0,2.0
Apulia,2021-11-04,-4.0,25.0,10.0,5.0,-9.0,2.0
Apulia,2021-11-05,-7.0,25.0,2.0,1.0,-10.0,2.0
Apulia,2021-11-06,-12.0,16.0,-4.0,-2.0,-11.0,3.0
Apulia,2021-11-07,-11.0,4.0,43.0,17.0,-5.0,2.0
Apulia,2021-11-08,-5.0,18.0,8.0,0.0,-10.0,2.0
Apulia,2021-11-09,-3.0,22.0,12.0,1.0,-11.0,3.0
Apulia,2021-11-10,-1.0,25.0,22.0,1.0,-10.0,1.0
Apulia,2021-11-11,-2.0,23.0,19.0,4.0,-10.0,1.0
Apulia,2021-11-12,-6.0,22.0,12.0,2.0,-11.0,2.0
Apulia,2021-11-13,-11.0,14.0,8.0,1.0,-13.0,2.0
Apulia,2021-11-14,-11.0,4.0,53.0,18.0,-8.0,2.0
Apulia,2021-11-15,-12.0,12.0,-12.0,-4.0,-12.0,4.0
Apulia,2021-11-16,-4.0,23.0,4.0,-2.0,-12.0,3.0
Apulia,2021-11-17,-3.0,23.0,9.0,-4.0,-11.0,2.0
Apulia,2021-11-18,-4.0,21.0,3.0,1.0,-10.0,3.0
Apulia,2021-11-19,-6.0,22.0,3.0,0.0,-11.0,2.0
Apulia,2021-11-20,-10.0,14.0,9.0,3.0,-13.0,2.0
Apulia,2021-11-21,-9.0,4.0,61.0,22.0,-8.0,1.0
Apulia,2021-11-22,-4.0,19.0,14.0,-1.0,-11.0,2.0
Apulia,2021-11-23,-5.0,20.0,6.0,0.0,-12.0,2.0
Apulia,2021-11-24,-3.0,23.0,6.0,-3.0,-11.0,2.0
Apulia,2021-11-25,-3.0,22.0,0.0,3.0,-11.0,2.0
Apulia,2021-11-26,-5.0,24.0,-8.0,-1.0,-12.0,3.0
Apulia,2021-11-27,-10.0,19.0,-7.0,-2.0,-13.0,3.0
Apulia,2021-11-28,-11.0,10.0,18.0,12.0,-7.0,3.0
Apulia,2021-11-29,-6.0,19.0,-12.0,-6.0,-11.0,3.0
Apulia,2021-11-30,-5.0,23.0,-7.0,-5.0,-12.0,3.0
Apulia,2021-12-01,0.0,29.0,11.0,-4.0,-11.0,2.0
Apulia,2021-12-02,-3.0,27.0,2.0,-1.0,-10.0,2.0
Apulia,2021-12-03,-9.0,26.0,-17.0,-6.0,-12.0,4.0
Apulia,2021-12-04,-9.0,19.0,7.0,4.0,-13.0,2.0
Apulia,2021-12-05,-14.0,11.0,9.0,8.0,-5.0,3.0
Apulia,2021-12-06,-2.0,27.0,-2.0,-8.0,-12.0,3.0
Apulia,2021-12-07,1.0,40.0,-4.0,-4.0,-14.0,1.0
Apulia,2021-12-08,-12.0,-28.0,62.0,-30.0,-67.0,12.0
Apulia,2021-12-09,-6.0,26.0,-9.0,-1.0,-9.0,3.0
Apulia,2021-12-10,-5.0,30.0,5.0,-6.0,-10.0,3.0
Apulia,2021-12-11,-14.0,18.0,-14.0,-5.0,-10.0,4.0
Apulia,2021-12-12,-20.0,10.0,-13.0,2.0,-2.0,5.0
Apulia,2021-12-13,1.0,29.0,10.0,-7.0,-8.0,2.0
Apulia,2021-12-14,0.0,29.0,7.0,-2.0,-9.0,2.0
Apulia,2021-12-15,4.0,32.0,10.0,-2.0,-8.0,1.0
Apulia,2021-12-16,3.0,31.0,10.0,0.0,-8.0,1.0
Apulia,2021-12-17,-1.0,32.0,0.0,0.0,-8.0,2.0
Apulia,2021-12-18,-10.0,21.0,-14.0,5.0,-10.0,3.0
Apulia,2021-12-19,-1.0,27.0,50.0,27.0,6.0,1.0
Apulia,2021-12-20,14.0,40.0,25.0,6.0,-7.0,0.0
Apulia,2021-12-21,17.0,46.0,24.0,14.0,-10.0,0.0
Apulia,2021-12-22,21.0,55.0,30.0,19.0,-12.0,0.0
Apulia,2021-12-23,28.0,72.0,42.0,33.0,-23.0,1.0
Apulia,2021-12-24,12.0,60.0,43.0,4.0,-46.0,4.0
Apulia,2021-12-25,-51.0,-68.0,3.0,-46.0,-61.0,7.0
Apulia,2021-12-26,-26.0,-16.0,60.0,12.0,-12.0,2.0
Apulia,2021-12-27,12.0,39.0,53.0,0.0,-33.0,7.0
Apulia,2021-12-28,8.0,44.0,55.0,4.0,-32.0,7.0
Apulia,2021-12-29,7.0,51.0,52.0,0.0,-32.0,7.0
Apulia,2021-12-30,6.0,68.0,38.0,3.0,-34.0,8.0
Apulia,2021-12-31,-9.0,52.0,37.0,-24.0,-50.0,10.0
Basilicata,2021-01-01,-79.0,-83.0,-30.0,-77.0,-75.0,25.0
Basilicata,2021-01-02,-63.0,-29.0,-48.0,-68.0,-48.0,21.0
Basilicata,2021-01-03,-64.0,-40.0,-34.0,-57.0,-27.0,15.0
Basilicata,2021-01-04,-9.0,35.0,31.0,-40.0,-33.0,10.0
Basilicata,2021-01-05,-37.0,19.0,-1.0,-52.0,-38.0,15.0
Basilicata,2021-01-06,-70.0,-63.0,-23.0,-71.0,-69.0,25.0
Basilicata,2021-01-07,-23.0,12.0,-4.0,-42.0,-25.0,12.0
Basilicata,2021-01-08,-32.0,7.0,-24.0,-47.0,-28.0,13.0
Basilicata,2021-01-09,-44.0,1.0,-37.0,-57.0,-29.0,15.0
Basilicata,2021-01-10,-60.0,-37.0,-38.0,-58.0,-21.0,14.0
Basilicata,2021-01-11,-28.0,6.0,-10.0,-48.0,-22.0,10.0
Basilicata,2021-01-12,-27.0,4.0,0.0,-49.0,-22.0,10.0
Basilicata,2021-01-13,-29.0,2.0,-2.0,-45.0,-23.0,8.0
Basilicata,2021-01-14,-31.0,0.0,-10.0,-47.0,-25.0,8.0
Basilicata,2021-01-15,-40.0,-7.0,-33.0,-53.0,-33.0,11.0
Basilicata,2021-01-16,-47.0,-11.0,-38.0,-58.0,-36.0,13.0
Basilicata,2021-01-17,-58.0,-44.0,-37.0,-59.0,-28.0,11.0
Basilicata,2021-01-18,-40.0,-13.0,-26.0,-56.0,-35.0,12.0
Basilicata,2021-01-19,-33.0,-4.0,-6.0,-49.0,-27.0,9.0
